PayStationBlockfaceId,ElementKey,ParkingSpaces,PaidParkingArea,ParkingTimeLimitCategory,PeakHourStart1,PeakHourEnd1,PeakHourStart2,PeakHourEnd2,PaidAreaStartTime,PaidAreaEndTime,EffectiveStartDate,EffectiveEndDate,PaidParkingRate,ParkingCategory,Load,Zone,WeekdayRate1,WeekdayStart1,WeekdayEnd1,WeekdayRate2,WeekdayStart2,WeekdayEnd2,WeekdayRate3,WeekdayStart3,WeekdayEnd3,StartTimeWeekday,EndTimeWeekday,SaturdayRate1,SaturdayStart1,SaturdayEnd1,SaturdayRate2,SaturdayStart2,SaturdayEnd2,SaturdayRate3,SaturdayStart3,SaturdayEnd3,StartTimeSaturday,EndTimeSaturday
7644,70865,8,Pioneer Square,120,,,,,08:00:00,18:00:00,2015-05-28,2016-10-08,,Paid Parking,1,0,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00
7645,69085,10,Pioneer Square,120,06:00:00,09:00:00,,,08:00:00,18:00:00,2015-05-28,2016-10-08,,Paid Parking,0,1,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00
7646,8870,1,Pioneer Square,120,,,,,08:00:00,18:00:00,2015-05-28,2016-10-08,,Paid Parking,0,0,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00
7647,36093,8,Pioneer Square,120,,,,,08:00:00,18:00:00,2015-05-28,2015-06-10,,Paid Parking,1,1,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00
7648,88630,5,Pioneer Square,120,,,,,08:00:00,18:00:00,2015-05-28,2016-10-08,,Paid Parking,0,1,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00
7649,2986,5,Pioneer Square,120,,,,,08:00:00,18:00:00,2015-05-28,2016-10-08,,Paid Parking,1,0,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00
7650,65801,6,Pioneer Square,120,,,,,08:00:00,18:00:00,2015-05-28,2016-10-08,,Paid Parking,1,0,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00
7651,81706,4,Pioneer Square,120,15:00:00,19:00:00,,,08:00:00,18:00:00,2015-05-28,2016-10-08,,Paid Parking,0,3,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00
7652,65546,8,Pioneer Square,120,,,,,08:00:00,18:00:00,2015-05-28,2016-01-15,,Paid Parking,1,0,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00
7653,65545,3,Pioneer Square,120,,,,,08:00:00,18:00:00,2015-05-28,2016-10-08,,Paid Parking,0,0,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00
7654,20834,4,Pioneer Square,120,,,,,08:00:00,18:00:00,2015-05-28,2016-10-08,,Paid Parking,0,1,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00,2.5,08:00:00,11:00:00,3.5,11:00:00,18:00:00,,,,08:00:00,18:00:00
